size,room,year,floor,top_floor,price
75,3,1988,3,6,27500000
87,3,2007,15,18,26900000
59,2,1977,8,8,20000000
62,3,1971,4,4,18500000
65,3,1956,2,3,38000000
65,3,1974,1,5,18000000
63,3,1981,2,5,18800000
53,2,1983,2,5,16000000
90,4,1963,4,4,34000000
65,3,1978,4,5,20000000
59,3,1980,4,5,20300000
85,4,1983,5,5,26000000
91,4,1978,5,5,38000000
59,3,1971,2,4,18000000
59,3,1978,3,5,19700000
60,3,1973,1,5,17800000
58,3,1974,5,5,20500000
42,1,1979,2,9,14300000
43,1,1989,9,9,14200000
172,7,1995,9,10,55000000
39,1,1990,2,9,13800000
57,3,1968,2,5,17500000
36,1,1956,3,4,11600000
64,3,1973,1,4,18300000
31,1,1984,4,5,13500000
61,2,2015,5,12,18000000
121,3,2010,5,19,51150000
65,3,1975,4,5,19350000
65,3,1978,2,5,20000000
58,3,1974,2,4,19500000
126,4,2014,8,17,59000000
66,3,1973,4,5,20250000
66,3,1973,4,5,20250000
82,4,1980,5,5,50000000
61,3,1971,2,4,19500000
54,2,1986,5,5,18000000
45,2,1970,2,4,20000000
75,3,1970,5,5,42640000
65,3,1980,2,5,22500000
90,3,1971,1,5,36000000
64,2,2012,5,21,29000000
47,2,1969,5,5,30000000
53,2,1982,5,5,18000000
56,2,1994,3,5,18000000
40,1,1978,9,9,12300000
62,2,1983,2,5,20800000
55,3,1971,4,4,18300000
40,1,1980,5,9,16500000
42,1,1985,3,5,14500000
39,1,1964,2,3,11800000
42,1,1985,9,9,14500000
96,3,1976,5,7,39000000
36,1,1979,9,9,13700000
70,3,1971,2,5,30500000
44,1,1987,5,5,14000000
76,4,1984,11,12,22500000
40,1,2000,5,9,14800000
112,3,2009,9,9,45000000
60,2,1980,8,9,21500000
38,1,1986,5,5,14500000
52,2,1985,6,9,18350000
46,1,1995,1,5,18000000
48,2,1987,3,5,17800000
41,2,1963,2,4,14000000
40,1,1985,9,9,14800000
51,2,1981,5,5,16800000
53,2,1982,1,5,14350000
60,3,1969,4,4,19000000
40,1,1984,4,5,14200000
52,2,1984,3,5,17500000
40,1,1977,6,8,14300000
35,1,1963,4,4,13000000
50,2,1977,8,8,19000000
43,2,1981,5,5,13800000
43,2,1979,4,5,15800000
18,1,1986,2,5,4500000
43,2,1974,1,5,14300000
30,1,1965,3,4,10500000
43,2,1974,5,5,12500000
43,2,1980,5,5,13100000
40,1,2004,7,10,14800000
35,1,1988,6,6,12000000
63,3,1979,4,5,19300000
34,1,1980,4,5,14300000
42,1,1979,2,9,14300000
68,3,1986,8,9,23500000
70,3,1985,6,9,20300000
43,1,1978,6,7,15300000
35,1,1985,4,5,14500000
40,1,1978,2,9,14500000
70,3,1988,6,9,18500000
40,1,1972,5,5,17000000
39,1,1990,2,9,13800000
67,3,1979,5,5,22500000
40,1,1989,8,9,13800000
63,3,1979,4,5,19300000
77,3,1986,7,9,23000000
42,1,1973,2,5,15300000
59,3,1978,2,5,17500000
72,4,1973,4,5,21500000
41,1,1985,8,9,14300000
36,1,1956,3,4,11600000
47,1,1983,5,5,15300000
40,1,1978,9,9,12300000
30,1,1969,4,4,13000000
72,4,1973,4,5,21500000
32,1,1972,2,5,12000000
50,2,1983,4,5,19500000
30,1,1972,2,5,11800000
36,1,1955,3,4,11500000
61,2,2011,13,18,23500000
50,2,1979,4,5,20300000
66,3,1976,3,5,28500000
146,4,2014,7,7,80600000
31,1,1963,2,4,12000000
75,2,2014,5,7,42900000
109,3,2014,4,7,60000000
74,4,1976,4,5,25000000
45,2,1976,1,5,14500000
45,2,1976,1,5,14500000
50,2,1958,3,3,21000000
57,2,1986,4,5,25300000
39,1,1975,4,5,15500000
42,1,1985,2,9,14800000
27,1,2016,3,13,11699000
33,1,1962,4,4,12000000
41,1,1990,6,9,14500000
68,3,1994,1,5,17300000
67,3,1984,6,9,20300000
53,2,1981,4,5,18800000
57,3,1972,2,5,17350000
64,3,1982,4,5,18300000
78,3,1978,6,9,35000000
70,3,1982,5,5,24300000
79,3,1971,8,9,27200000
43,1,1976,4,5,16000000
53,2,1981,4,5,18500000
62,2,1973,2,5,21000000
85,4,1986,5,5,24000000
89,4,1989,1,5,25900000
55,3,1978,5,5,15200000
63,3,1983,2,5,19400000
31,1,1979,3,5,9800000
40,1,1992,2,9,11800000
47,2,1977,4,5,20000000
31,1,1978,3,5,12000000
75,3,1988,10,12,26400000
88,4,1961,2,4,37500000
96,4,1988,3,8,43000000
110,4,1989,2,5,49000000
110,4,1974,4,5,45000000
63,3,1982,3,5,18000000
70,3,1995,5,9,32000000
75,3,1968,2,4,24900000
73,3,1981,4,5,26500000
72,3,1980,4,5,30000000
72,3,1996,4,5,30000000
80,3,1978,4,5,30000000
57,2,1986,3,9,21500000
72,3,1959,2,3,32500000
70,3,1982,4,9,26000000
70,3,1994,2,12,26000000
75,3,1986,2,9,26500000
74,3,1998,6,9,29700000
70,3,1988,8,9,28500000
75,3,1999,5,10,29500000
72,3,1964,2,4,28500000
63,3,1974,4,5,19100000
70,3,1996,6,9,25500000
70,3,1985,4,9,28000000
80,3,1990,5,9,34000000
87,3,1998,2,10,34500000
80,3,1983,5,9,28000000
70,3,1991,2,5,30500000
76,3,1979,4,9,25500000
72,3,1960,2,4,24000000
70,3,1992,3,9,29500000
70,3,1986,4,5,33000000
86,3,2009,9,10,30000000
83,3,1973,3,5,35000000
80,3,1979,4,5,30000000
70,3,1985,4,5,31000000
75,3,1984,3,6,27000000
80,3,2015,7,10,33000000
75,3,1987,5,9,28000000
70,3,1980,2,5,27800000
75,3,2000,5,10,29000000
70,3,2017,4,10,25900000
70,3,1969,3,5,30000000
75,3,1989,6,9,23000000
77,3,1977,3,5,28500000
70,3,1982,4,5,31000000
13,1,1986,2,5,3900000
73,3,1981,4,5,30000000
88,4,1985,9,10,31000000
80,3,1977,2,6,28500000
80,3,1989,9,12,24800000
72,3,1986,7,9,23500000
75,3,2015,6,16,34000000
87,3,2017,5,12,33099000
75,3,1985,2,9,31000000
100,4,1994,3,9,42000000
70,3,1973,3,9,30000000
90,4,1991,5,6,48900000
72,3,1986,8,9,25500000
85,3,1975,2,5,35000000
53,2,1982,7,9,17000000
84,4,1995,4,5,42000000
85,4,1961,2,3,38400000
107,4,1996,2,9,42000000
94,4,1950,2,4,39000000
43,2,1975,5,5,15500000
105,4,1983,4,8,42000000
93,4,1996,8,9,45000000
100,4,2000,8,9,38000000
80,4,1988,3,12,33000000
90,4,1980,6,8,49500000
93,4,1994,4,5,32000000
81,4,1981,4,5,36500000
100,4,1980,5,8,45000000
107,4,1988,7,9,45000000
89,4,1993,6,9,33000000
109,4,1996,2,10,50000000
80,4,1991,5,6,33000000
90,4,1963,2,4,49000000
90,4,1966,2,4,45000000
104,4,1988,3,12,38000000
91,4,1990,5,9,47500000
80,4,1988,3,12,30000000
100,4,1992,3,9,36000000
110,4,1960,3,4,50000000
103,4,1993,7,9,39900000
100,4,1992,3,9,38700000
90,4,1964,2,4,42500000
91,4,1994,6,9,45000000
124,4,2004,6,7,48000000
90,4,1966,3,4,32000000
96,4,1991,3,5,45550000
95,4,2011,7,9,34000000
123,4,1991,2,11,49000000
100,4,1962,2,4,43000000
95,4,1992,3,9,36000000
100,4,1962,2,4,43000000
100,4,1978,4,8,38500000
124,4,2003,6,7,48500000
124,4,2004,6,7,48500000
102,4,1975,4,5,46000000
75,3,1985,4,5,29500000
70,3,1988,6,9,19000000
75,3,1990,5,6,30000000
90,3,2011,7,22,34000000
36,1,1988,2,5,13500000
70,3,1993,4,9,30000000
63,3,1973,1,4,16850000
82,3,1990,5,9,34000000
58,3,1969,1,4,16350000
58,3,1977,4,5,18850000
65,3,1952,1,2,15850000
52,2,1973,3,8,18000000
55,2,1960,2,4,18000000
59,2,1984,2,5,22500000
58,3,1968,4,5,16850000
56,3,1974,5,5,15350000
35,1,1963,3,4,13000000
50,2,1988,8,9,23000000
53,2,1982,4,5,18500000
51,2,1951,2,3,20000000
59,2,1979,2,5,20000000
48,2,1987,3,5,23000000
56,2,1977,4,7,21000000
62,2,1986,2,5,21000000
65,3,1975,4,5,19350000
52,2,1988,4,9,18200000
48,2,1991,3,9,23000000
55,2,1980,2,5,22000000
62,2,1977,2,5,23000000
52,2,1980,3,9,21450000
53,2,1989,9,12,20500000
51,2,1981,4,5,21000000
48,2,1987,2,5,20000000
60,2,1985,8,9,22000000
55,2,1970,2,5,18200000
47,2,1987,4,5,18000000
46,2,1965,2,4,20000000
52,2,1979,4,7,19800000
60,2,1986,5,9,22000000
56,2,1985,4,9,19500000
50,2,1989,3,5,18000000
58,2,1985,4,9,22300000
52,2,1985,6,9,18500000
52,2,1985,8,9,19000000
52,2,1985,8,9,20000000
45,2,1980,3,5,17900000
58,2,1980,7,9,21900000
51,2,1960,2,4,20000000
52,2,1987,3,5,23000000
56,2,1978,2,7,17500000
52,2,1988,3,5,22000000
58,2,1990,7,9,21900000
65,3,1978,2,5,20000000
58,3,1974,2,4,19500000
65,3,1978,3,5,20350000
60,3,1978,2,5,17850000
39,1,1964,2,3,12500000
40,1,1977,6,9,15000000
41,1,1989,4,5,14000000
40,1,1984,4,5,14500000
36,1,1980,5,7,15000000
40,1,1985,8,9,14500000
40,1,1986,7,9,14000000
66,3,1973,4,5,20250000
39,1,1990,8,9,13700000
37,1,1996,9,10,13000000
40,1,1988,3,5,15000000
42,1,1979,2,9,14300000
40,1,1985,2,9,14900000
47,1,1990,8,12,15000000
36,1,1987,2,5,14000000
39,1,1985,8,9,14500000
35,1,1988,2,5,13700000
39,1,1989,8,9,13000000
100,4,1979,4,5,38000000
70,3,1977,4,5,25500000
63,3,1980,3,5,20000000
63,4,1962,2,4,22000000
63,3,1973,1,4,16850000
58,3,1969,1,4,16350000
58,3,1970,2,4,18350000
60,3,1980,4,5,18850000
58,3,1974,3,5,19350000
